asset_tag,asset_name,category,status,location,item_lifespan,disposal_method,acquisition_date
IL-UPS-N/A-023,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 3,5,,
IL-UPS-N/A-024,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 2,5,,
IL-UPS-N/A-025,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 2,5,,
IL-UPS-N/A-026,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 3,5,,
IL-UPS-N/A-027,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 3,5,,
IL-UPS-N/A-028,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 3,5,,
IL-UPS-N/A-029,UPS (CYBERPOWER),UPS (CYBERPOWER),Assigned,BRIDGE 4,5,,
IL-UPS-N/A-030,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 4,5,,
IL-UPS-N/A-031,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 4,5,,
IL-UPS-N/A-032,UPS (IDEAL),UPS (IDEAL),Assigned,BRIDGE 5,5,,
IL-UPS-N/A-033,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 5,5,,
IL-UPS-N/A-034,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 5,5,,
IL-UPS-N/A-035,UPS (SECURE),UPS (SECURE),Assigned,FMB,5,,
IL-UPS-N/A-036,UPS (SECURE),UPS (SECURE),Assigned,FMB,5,,
IL-UPS-N/A-037,UPS (SECURE),UPS (SECURE),Assigned,FMB,5,,
IL-UPS-N/A-038,UPS (SECURE),UPS (SECURE),Assigned,FMB,5,,
IL-UPS-N/A-039,UPS (AWP),UPS (AWP),Assigned,FMB,5,,
IL-UPS-N/A-040,UPS (IDEAL),UPS (IDEAL),Assigned,FMB,5,,
IL-UPS-N/A-041,UPS (SECURE),UPS (SECURE),Assigned,FMB,5,,
IL-UPS-N/A-042,UPS (AWP),UPS (AWP),Assigned,TRAINING,5,,
IL-UPS-N/A-043,UPS (AWP),UPS (AWP),Assigned,TRAINING,5,,
IL-UPS-N/A-044,UPS (INTEX),UPS (INTEX),Assigned,ROOM 101,5,,
IL-UPS-N/A-045,UPS (AWP),UPS (AWP),Assigned,ROOM 102,5,,
IL-UPS-N/A-046,UPS (SECURE),UPS (SECURE),Assigned,ROOM 103,5,,
IL-UPS-N/A-047,UPS (SECURE),UPS (SECURE),Assigned,ROOM103/LCHS,5,,
IL-UPS-N/A-048,UPS (SECURE),UPS (SECURE),Assigned,ROOM103/LCHS,5,,
IL-UPS-N/A-049,UPS (SECURE),UPS (SECURE),Assigned,ROOM103/LCHS,5,,
IL-UPS-N/A-050,UPS (SECURE),UPS (SECURE),Assigned,ROOM103/LCHS,5,,
IL-UPS-N/A-051,UPS (AWP),UPS (AWP),Assigned,ROOM 105,5,,
IL-UPS-N/A-052,UPS (AWP),UPS (AWP),Assigned,ROOM 106,5,,
IL-UPS-N/A-053,UPS (AWP),UPS (AWP),Assigned,ROOM 107,5,,
IL-UPS-N/A-054,UPS (AWP),UPS (AWP),Assigned,ROOM 108,5,,
IL-UPS-N/A-055,UPS(AWP),UPS(AWP),Assigned,TRAINING,5,,
IL-UPS-N/A-056,UPS(AWP),UPS(AWP),Assigned,ADMIN,5,,
IL-UPS-N/A-057,UPS(AWP),UPS(AWP),Assigned,ADMIN,5,,
IL-UPS-N/A-058,UPS(AWP),UPS(AWP),Assigned,CASHIER,5,,
IL-UPS-N/A-059,UPS(AWP),UPS(AWP),Assigned,FINANCE,5,,
IL-UPS-N/A-060,UPS(Intex),UPS(Intex),Assigned,FINANCE,5,,
IL-UPS-N/A-061,UPS(AWP),UPS(AWP),Assigned,IT/CCTV,5,,
IL-UPS-N/A-062,UPS(APC),UPS(APC),Assigned,REGISTRATION,5,,
